Id,weight
P1940,152
P0707,127
P1316,91
P0911,81
P1097,76
P1096,71
P1839,70
P0853,69
P0920,69
P0379,68
P0909,67
P0531,67
P0570,66
P0191,64
P0880,63
P1257,62
P0910,62
P1252,59
P1253,58
P1256,56
P1607,52
P0711,51
P1255,51
P1281,50
P0515,49
P1589,49
P0297,48
P1020,48
P0982,48
P0807,48
P1823,48
P0856,47
P0097,47
P1050,47
P1356,47
P1254,47
P0737,46
P1280,46
P1687,45
P0854,45
P0449,45
P0141,45
P1314,45
P0532,44
P1019,43
P0617,43
P1009,43
P1794,43
P1111,43
P1277,43
P0430,42
P0411,42
P0049,41
P0703,41
P0548,41
P1791,41
P1362,41
P1795,40
P0429,39
P0362,39
P0981,39
P1105,39
P0849,39
P0962,39
P0065,39
P1763,39
P0447,39
P0498,38
P1124,38
P0181,37
P1608,37
P1741,37
P0179,37
P1674,37
P0927,37
P1363,37
P1834,36
P0800,36
P0555,36
P1112,36
P1090,36
P1286,36
P0822,36
P0427,35
P1052,35
P0566,35
P0922,35
P0259,35
P0810,35
P1816,35
P1365,35
P0412,34
P0062,34
P0008,34
P0879,34
P0708,34
P0821,34
P1199,34
P1245,34
P0516,33
P0852,33
P1102,33
P0743,33
P0464,33
P0926,33
P1657,33
P1147,33
P0851,32
P0174,32
P0343,32
P0873,32
P0704,32
P0305,32
P0906,32
P1288,32
P1250,32
P1302,32
P0166,31
P0307,31
P0007,31
P1827,31
P0415,31
P1609,31
P1686,31
P0812,31
P1656,31
P0805,31
P0514,31
P0840,31
P0279,30
P0211,30
P0736,30
P0239,30
P1357,30
P1202,30
P0255,29
P0881,29
P0565,29
P1278,29
P1206,29
P0947,28
P0302,28
P0463,28
P0925,28
P1103,28
P0380,28
P1201,28
P0298,27
P1802,27
P1282,27
P1374,27
P1381,27
P1425,27
P1658,26
P0069,26
P1654,26
P0280,26
P1113,26
P0374,26
P1361,26
P1351,26
P1091,25
P0563,25
P0834,25
P0006,25
P0701,25
P0905,25
P0491,25
P1101,25
P1734,25
P0757,25
P1046,25
P0450,25
P0538,25
P1120,25
P1311,25
P1353,25
P1406,25
P0761,24
P0989,24
P0847,24
P0063,24
P0296,24
P0201,24
P1603,24
P0425,24
P1803,24
P1244,24
P1203,24
P1352,24
P1368,24
P0823,24
P0539,23
P1596,23
P1755,23
P1011,23
P0713,23
P0588,23
P1614,23
P1594,23
P0285,23
P1272,23
P1308,23
P1320,23
P1276,23
P0608,23
P1354,23
P1326,23
P0824,23
P0972,22
P1685,22
P1013,22
P0209,22
P1056,22
P1776,22
P0466,22
P0963,22
P0610,22
P1023,22
P0352,22
P0404,22
P0842,22
P1248,22
P1683,22
P1439,22
P1417,22
P0945,21
P0815,21
P0167,21
P0399,21
P0709,21
P0768,21
P0502,21
P0337,21
P0772,21
P1756,21
P0928,21
P1777,21
P0339,21
P0106,21
P1122,21
P1156,21
P1213,21
P1789,21
P0924,21
P0469,21
P1247,21
P1565,21
P0936,21
P0944,20
P1087,20
P1650,20
P1015,20
P0660,20
P0948,20
P0059,20
P0061,20
P0969,20
P1012,20
P1595,20
P0055,20
P0564,20
P0865,20
P0513,20
P0414,19
P0814,19
P0673,19
P0533,19
P0714,19
P0877,19
P0882,19
P0684,19
P1094,19
P0148,19
P0493,19
P0050,19
P1618,19
P0798,19
P0440,19
P0685,19
P1183,19
P1321,19
P0739,19
P1143,19
P1216,19
P0938,19
P1668,19
P0933,19
P0536,18
P0397,18
P0799,18
P1022,18
P0370,18
P0820,18
