source,target,weight
P1252,P1608,7
P1253,P1314,7
P1314,P1607,7
P1319,P1320,7
P1320,P1940,7
P1253,P1363,7
P1316,P1356,7
P1316,P1363,7
P0685,P1316,7
P1020,P1316,7
P0570,P1281,7
P0737,P0920,7
P1019,P1763,7
P1314,P1763,7
P0856,P0920,7
P0856,P1356,7
P0570,P1253,7
P0703,P1356,7
P0737,P1356,7
P0920,P1253,7
P1096,P1252,7
P1096,P1314,7
P1252,P1839,7
P1253,P1741,7
P1314,P1839,7
P0065,P1280,7
P0179,P0447,7
P1280,P1363,7
P0141,P0856,7
P0464,P0531,7
P0531,P0856,7
P0548,P0853,7
P0548,P1763,7
P0708,P1253,7
P0853,P1253,7
P1019,P1607,7
P1050,P1120,7
P1050,P1362,7
P1097,P1314,7
P0297,P1281,7
P0297,P1839,7
P0570,P0910,7
P0709,P0713,7
P0709,P1253,7
P0711,P1254,7
P0910,P0920,7
P0910,P1113,7
P0910,P1607,7
P0910,P1839,7
P0911,P1113,7
P0911,P1288,7
P0911,P1363,7
P1112,P1254,7
P1112,P1280,7
P1113,P1253,7
P1281,P1287,7
P1282,P1288,7
P1287,P1362,7
P1288,P1794,7
P0707,P0807,7
P0447,P0464,7
P0464,P0704,7
P0097,P1199,7
P0097,P1316,7
P0981,P1316,7
P1096,P1272,7
P1096,P1316,7
P0707,P1352,7
P0707,P1354,7
P0709,P0854,7
P0909,P1352,7
P0910,P1105,7
P0911,P1354,7
P1253,P1354,7
P1351,P1354,7
P0297,P1940,7
P0352,P0570,7
P0415,P1281,7
P0415,P1316,7
P0430,P0570,7
P0849,P1316,7
P1360,P1795,7
P0566,P0909,7
P0911,P1791,7
P1090,P1091,7
P1091,P1124,7
P1097,P1254,7
P1257,P1362,7
P0910,P1245,7
P0531,P0927,7
P0531,P1147,7
P0927,P1050,7
P0703,P1316,7
P0910,P1203,7
P0307,P0411,7
P0853,P1257,7
P0856,P1112,7
P0880,P1362,7
P0947,P1302,7
P1112,P1257,7
P1316,P1354,7
P0427,P0807,7
P0532,P0807,7
P0532,P0853,7
P1050,P1316,7
P1316,P1609,7
P0191,P1253,7
P0191,P1363,7
P0515,P1252,7
P0515,P1316,7
P1009,P1316,7
P1009,P1607,7
P1096,P1362,7
P0191,P1281,7
P0514,P1009,7
P1111,P1314,7
P0909,P1803,7
P0853,P0910,7
P0853,P1202,7
P0936,P1316,7
P1816,P1839,7
P0174,P0807,7
P0821,P0823,7
P0380,P1763,7
P0380,P1940,7
P0141,P0514,7
P0429,P0514,7
P1316,P1657,7
P0531,P1277,7
P1097,P1316,7
P0880,P1314,7
P1096,P1361,7
P0515,P1280,7
P0259,P1288,7
P0515,P0910,7
P0531,P1252,7
P0570,P1277,7
P1009,P1257,7
P1257,P1277,7
P0049,P0910,7
P0588,P0608,7
P0910,P1096,7
P1254,P1687,7
P0823,P1940,7
P0761,P1940,6
P0411,P0515,6
P0429,P0498,6
P0429,P1019,6
P0498,P0707,6
P0498,P1091,6
P0515,P0707,6
P0515,P1669,6
P0516,P0947,6
P0707,P0816,6
P0707,P0852,6
P0707,P1022,6
P1019,P1022,6
P0563,P1940,6
P0813,P0814,6
P0819,P1940,6
P0832,P0833,6
P0832,P1940,6
P0071,P0515,6
P0097,P0181,6
P0181,P0191,6
P0191,P0362,6
P0191,P1102,6
P0191,P1687,6
P0279,P1608,6
P0297,P1009,6
P0515,P1794,6
P0570,P0617,6
P0570,P1009,6
P0570,P1013,6
P0570,P1019,6
P0570,P1687,6
P0981,P1009,6
P1009,P1687,6
P1019,P1794,6
P0006,P0707,6
P0062,P0703,6
P0062,P0853,6
P0062,P0854,6
P0174,P0676,6
P0174,P0703,6
P0174,P0853,6
P0181,P0982,6
P0209,P0981,6
P0297,P0853,6
P0298,P0982,6
P0307,P0707,6
P0307,P0853,6
P0307,P0854,6
P0701,P0707,6
P0707,P1792,6
P0854,P1607,6
P0982,P1607,6
P0006,P0007,6
P0006,P0008,6
P0007,P1839,6
P0981,P1839,6
P0343,P1940,6
P0379,P1096,6
P0411,P0412,6
P0411,P1096,6
P0412,P0920,6
P0412,P1097,6
P0449,P0566,6
P0449,P0880,6
P0449,P0922,6
P0449,P1096,6
P0533,P0535,6
P0566,P0880,6
P0566,P1020,6
P0879,P1105,6
P0905,P0920,6
P0920,P1105,6
P1020,P1096,6
P1020,P1755,6
P1020,P1940,6
P1096,P1105,6
P1096,P1654,6
P1097,P1098,6
P1097,P1099,6
P1098,P1099,6
P0707,P1056,6
P0948,P0949,6
P0964,P1940,6
P1056,P1096,6
P1102,P1940,6
P0491,P0814,6
P0491,P1940,6
P1818,P1820,6
P0097,P0209,6
P0211,P0570,6
P0211,P0707,6
P0259,P0515,6
P0259,P0570,6
P0259,P0880,6
P0515,P0873,6
P0515,P0875,6
P0515,P0920,6
P0515,P1096,6
P0570,P0873,6
P0707,P1827,6
P0880,P1101,6
P0880,P1839,6
P0920,P1101,6
P1009,P1839,6
P1827,P1839,6
P0411,P0415,6
P0411,P0531,6
P0411,P0800,6
P0427,P1096,6
P0800,P0852,6
P0800,P1096,6
P0800,P1940,6
P0849,P0852,6
P0852,P1097,6
P0810,P1940,6
P0531,P0708,6
P0708,P0709,6
P0711,P0880,6
P0768,P1940,6
P0920,P0981,6
P0920,P1013,6
P0466,P1791,6
P0916,P1686,6
P0962,P0963,6
P0920,P0982,6
P0062,P1834,6
P0174,P0430,6
P0201,P0362,6
P0703,P1839,6
P0853,P1834,6
P0305,P0307,6
P0429,P0920,6
P0548,P0807,6
P0548,P1607,6
P0807,P0920,6
P0059,P0876,6
P0061,P0062,6
P0061,P0063,6
P0061,P0065,6
P0063,P0684,6
P0063,P0879,6
P0063,P0880,6
P0064,P0065,6
P0141,P0881,6
P0141,P0920,6
P0141,P1050,6
P0707,P0881,6
P0707,P0922,6
P0707,P0972,6
P0812,P0922,6
P0881,P1834,6
P0922,P1050,6
P1023,P1050,6
P0191,P0450,6
P0925,P1763,6
P1687,P1940,6
P0174,P0516,6
P0174,P1686,6
P0275,P0812,6
P0491,P1687,6
P1054,P1055,6
P1687,P1741,6
P1011,P1015,6
P0711,P1791,6
P0711,P1823,6
P0743,P0744,6
P0743,P1940,6
P0179,P0379,6
P0179,P0707,6
P0337,P0982,6
P0352,P0707,6
P0379,P0982,6
P0379,P1050,6
P0402,P0548,6
P0402,P0707,6
P0404,P0531,6
P0404,P1686,6
P0414,P0880,6
P0449,P1607,6
P0531,P0925,6
P0531,P1658,6
P0538,P0707,6
P0548,P1050,6
P0707,P0713,6
P0707,P0772,6
P0707,P1756,6
P0772,P0982,6
P0800,P0880,6
P0800,P0982,6
P0812,P1096,6
P0812,P1839,6
P0879,P1645,6
P0880,P0925,6
P0880,P0982,6
P0925,P1097,6
P1022,P1097,6
P1050,P1111,6
P1050,P1686,6
P1097,P1686,6
P1607,P1658,6
P0630,P1839,6
P0291,P0555,6
P0379,P1674,6
P0430,P0466,6
P0430,P0849,6
P0849,P1674,6
P0379,P0464,6
P0379,P0743,6
P0379,P0947,6
P0379,P1614,6
P0379,P1687,6
P0415,P0947,6
P0415,P1763,6
P0464,P1096,6
P0464,P1687,6
P0563,P1097,6
P0570,P0743,6
P0736,P1096,6
P0736,P1120,6
P0736,P1607,6
P0761,P1097,6
P0807,P1097,6
P0807,P1763,6
P0810,P1096,6
P0810,P1614,6
P0842,P1096,6
P0849,P1763,6
P0849,P1839,6
P0880,P1608,6
P0880,P1763,6
P0925,P1120,6
P0925,P1791,6
P1096,P1120,6
P1608,P1674,6
P0063,P0853,6
P0434,P1112,6
P0807,P0922,6
P0812,P0853,6
P0853,P0922,6
P0854,P1940,6
P1050,P1940,6
P0259,P1940,6
P0343,P0736,6
P0106,P0379,6
P0852,P0853,6
P0055,P1940,6
P0255,P0711,6
P0566,P0711,6
P0711,P0963,6
P0821,P1112,6
P1097,P1789,6
P1153,P1156,6
P0564,P1097,6
P0854,P0920,6
P1019,P1097,6
P0379,P0515,6
P0380,P0531,6
P0515,P0531,6
P0847,P1823,6
P0852,P1823,6
P0983,P1823,6
P0379,P0799,6
P1009,P1940,6
P0141,P1794,6
P0143,P0146,6
P0379,P0399,6
P0379,P1794,6
P0216,P0960,6
P0251,P0252,6
P0434,P1834,6
P0447,P0532,6
P0449,P1795,6
P0532,P1090,6
P0873,P1794,6
P1090,P1795,6
P0280,P0737,6
P0436,P0570,6
P0588,P0606,6
P0711,P1608,6
P0924,P0926,6
P0297,P0514,6
P0798,P0807,6
P0798,P0849,6
P0800,P0834,6
P0800,P0918,6
P0707,P0714,6
P0065,P0440,6
P0427,P0570,6
P0570,P1050,6
P0259,P1687,6
P0449,P1687,6
P0141,P0307,6
P0141,P1607,6
P0531,P0842,6
P0643,P1763,6
P0880,P1286,6
P0911,P1280,6
P0430,P0707,6
P0463,P1823,6
P0707,P1614,6
P0279,P0429,6
P0429,P0430,6
P1244,P1839,6
P0141,P0927,6
P0179,P0412,6
P0711,P1097,6
P0927,P1756,6
P0982,P1791,6
P0062,P1285,6
P0065,P1285,6
P0981,P1199,6
P0707,P0798,6
P0296,P0703,6
P0427,P0430,6
P0430,P0880,6
P0447,P0800,6
P0538,P1281,6
P0840,P1280,6
P1278,P1281,6
P1281,P1594,6
P0279,P1124,6
P0339,P0340,6
P0707,P0969,6
P0707,P1202,6
P1096,P1124,6
P1097,P1206,6
P1097,P1357,6
P1287,P1288,6
P0191,P0927,6
P0191,P1257,6
P0191,P1356,6
P0449,P1255,6
P0707,P1244,6
P0708,P0911,6
P0708,P1256,6
P0708,P1794,6
P0711,P0909,6
P0711,P1019,6
P0711,P1245,6
P0711,P1255,6
P0713,P0911,6
P0909,P1020,6
P0909,P1090,6
P0909,P1102,6
P0911,P1020,6
P0911,P1794,6
P0927,P0928,6
P1019,P1256,6
P1019,P1356,6
P1101,P1124,6
P1111,P1124,6
P1111,P1257,6
P1257,P1687,6
P0049,P0304,6
P0065,P0737,6
P0191,P0737,6
P0707,P0716,6
P0737,P0906,6
P1589,P1594,6
P0374,P1253,6
P0374,P1257,6
P0411,P1199,6
P0707,P0810,6
P0711,P1253,6
P0736,P1255,6
P0810,P0873,6
P1199,P1252,6
P0305,P0707,6
P0305,P0910,6
P0379,P1356,6
P0555,P1356,6
P0707,P0757,6
P0707,P1802,6
P0708,P1763,6
P0709,P0909,6
P0709,P1257,6
P0757,P0911,6
P0909,P1657,6
P1589,P1741,6
P0570,P1220,6
P0853,P1250,6
P0854,P1247,6
P1247,P1940,6
P1250,P1839,6
P0532,P1112,6
P0810,P1112,6
P1020,P1112,6
P0156,P0158,6
P0156,P0191,6
P0447,P1023,6
P0088,P1311,6
P0711,P0853,6
P0856,P1316,6
P0856,P1361,6
P0911,P1361,6
P1120,P1316,6
P1199,P1316,6
P1257,P1312,6
P1282,P1316,6
P0905,P1255,6
P0905,P1316,6
P0911,P1120,6
P0911,P1608,6
P1120,P1253,6
P1206,P1316,6
P1245,P1254,6
P0191,P1609,6
P0853,P1199,6
P0280,P1940,6
P1250,P1320,6
P1250,P1791,6
P1318,P1320,6
P1318,P1321,6
P1318,P1791,6
P1319,P1321,6
P1320,P1321,6
P1320,P1791,6
P1252,P1363,6
P1254,P1363,6
P1254,P1940,6
P1255,P1940,6
P1256,P1357,6
P1257,P1940,6
P1269,P1316,6
P0209,P0879,6
P0491,P1202,6
P0563,P1124,6
P0920,P1124,6
P0920,P1202,6
P0097,P0879,6
P0853,P1105,6
P0059,P0665,6
P0063,P1286,6
P0063,P1316,6
P0141,P1019,6
P0881,P1316,6
P1316,P1329,6
P0737,P1763,6
P0853,P0926,6
P0920,P1281,6
P1019,P1314,6
P0856,P1314,6
P1277,P1314,6
P0106,P0879,6
P0179,P1252,6
P0179,P1356,6
P0379,P1252,6
P0379,P1253,6
P0570,P1252,6
P0703,P1096,6
P0703,P1252,6
P0943,P1096,6
P1096,P1741,6
P0851,P1280,6
P0049,P1802,6
P0049,P1803,6
P1277,P1823,6
P0379,P0429,6
P0464,P1253,6
P0531,P0854,6
